=== sofia_trace: ioctl + segv tracer (multi-thread) ===
[tracer] main PID=612, tracing syscalls + children...
[tracer] initial PC=0x76f30eac LR=0x00000000
IOC #1 fd=0 cmd=0x00005401 arg=0x7e85f96c = 0xffffffe7
IOC #2 fd=1 cmd=0x00005401 arg=0x7e85f96c = 0xffffffea
[tracer] new child PID=613 (event=3)
IOC #3 fd=0 cmd=0x80247009 arg=0x76ca9d28 = 0x76ca9cd8
IOC #4 fd=-25 cmd=0x00005401 arg=0x7e85ebdc = 0x5
IOC #5 fd=-25 cmd=0x00005401 arg=0x7e85e984 = 0x5
IOC #6 fd=-25 cmd=0x00005401 arg=0x7e85f9a4 = 0x1d81000
IOC #7 fd=-25 cmd=0x00005401 arg=0x7e85e994 = 0x5
IOC #8 fd=-25 cmd=0x00005401 arg=0x7e85e7ac = 0x1d84000
IOC #9 fd=-25 cmd=0x00005401 arg=0x7e85f6f4 = 0x5
IOC #10 fd=-25 cmd=0x00005401 arg=0x7e85e6e4 = 0x5
IOC #11 fd=-25 cmd=0x00005401 arg=0x7e85e98c = 0x5
IOC #12 fd=-25 cmd=0x00005401 arg=0x7e85e98c = 0x1d94000
IOC #13 fd=-25 cmd=0x00005401 arg=0x7e85e98c = 0x1d96000
IOC #14 fd=-25 cmd=0x00005401 arg=0x7e85e98c = 0x5
IOC #15 fd=-25 cmd=0x00005401 arg=0x7e85e7ac = 0x5
IOC #16 fd=-25 cmd=0x00005401 arg=0x7e85f9ac = 0x5
IOC #17 fd=0 cmd=0x00000703 arg=0x00000018 = 0x1
IOC #18 fd=-121 cmd=0x00000707 arg=0x01d6fd60 = 0x1
IOC #19 fd=-121 cmd=0x00000707 arg=0x01d6fd60 = 0x1
IOC #20 fd=0 cmd=0x80047652 arg=0x7e85fc44 = 0x1
IOC #21 fd=0 cmd=0x40046542 arg=0x00000001 = 0x9
IOC #22 fd=0 cmd=0x40046542 arg=0x00000002 = 0x9
IOC #23 fd=0 cmd=0x40046542 arg=0x00000004 = 0x9
IOC #24 fd=-1 cmd=0x40046542 arg=0x00000008 = 0x1
IOC #25 fd=0 cmd=0x80047652 arg=0x7e85fc44 = 0x9
IOC #26 fd=0 cmd=0x40047654 arg=0x00000000 = 0x8
IOC #27 fd=0 cmd=0x80047600 arg=0x7e85fb98 = 0x9
IOC #28 fd=0 cmd=0x80047670 arg=0x7e85fc3c = 0x2
IOC #29 fd=0 cmd=0x80047652 arg=0x7e85fc38 = 0x7e85fbe4
IOC #30 fd=-25 cmd=0x00005401 arg=0x7e85fb04 = 0x1da1000
IOC #31 fd=0 cmd=0x40047316 arg=0x01da0138 = 0x9
IOC #32 fd=0 cmd=0x80047301 arg=0x7e85fba0 = 0x9
IOC #33 fd=0 cmd=0x80047304 arg=0x7e85fc34 = 0x9
IOC #34 fd=0 cmd=0x80047670 arg=0x7e85fc3c = 0x9
IOC #35 fd=0 cmd=0x80046d05 arg=0x7e85fc40 = 0x9
IOC #36 fd=0 cmd=0x80046d00 arg=0x7e85fc28 = 0x9
IOC #37 fd=0 cmd=0x80046d04 arg=0x7e85fc40 = 0x9
IOC #38 fd=0 cmd=0x80046d10 arg=0x7e85fc28 = 0x9
IOC #39 fd=0 cmd=0x80046d20 arg=0x7e85fc3c = 0x9
IOC #40 fd=0 cmd=0x80045002 arg=0x7e85fc44 = 0x2
IOC #41 fd=-25 cmd=0x00005401 arg=0x7e85fab4 = 0xa
IOC #42 fd=-25 cmd=0x00005401 arg=0x7e85fab4 = 0xa
IOC #43 fd=-25 cmd=0x00005401 arg=0x7e85fab4 = 0xa
IOC #44 fd=-25 cmd=0x00005401 arg=0x7e85fab4 = 0xa
IOC #45 fd=-25 cmd=0x00005401 arg=0x7e85fb54 = 0xa
IOC #46 fd=-25 cmd=0x00005401 arg=0x7e85f964 = 0xa
IOC #47 fd=-25 cmd=0x00005401 arg=0x7e85f944 = 0xb
IOC #48 fd=-25 cmd=0x00005401 arg=0x7e85ef7c = 0x1ddd000
[tracer] new child PID=614 (event=3)
[tracer] new child PID=615 (event=3)
[tracer] new child PID=616 (event=3)
IOC #49 fd=5 cmd=0x80045704 arg=0x7e85fae4 = 0x0
IOC #50 fd=5 cmd=0xc0045706 arg=0x7e85fadc = 0x0
[tracer] new child PID=617 (event=3)
IOC #51 fd=5 cmd=0x80045705 arg=0x00000000 = 0x0
IOC #52 fd=-25 cmd=0x00005401 arg=0x7e85f5a4 = 0x1ef9000
IOC #53 fd=-25 cmd=0x00005401 arg=0x7e85f5a4 = 0xc
IOC #54 fd=-25 cmd=0x00005401 arg=0x7e85f5ac = 0xc
IOC #55 fd=0 cmd=0x00008916 arg=0x7e85f970 = 0xc
IOC #56 fd=0 cmd=0x00008913 arg=0x7e85f970 = 0xc
IOC #57 fd=0 cmd=0x00008914 arg=0x7e85f970 = 0xc
IOC #58 fd=-25 cmd=0x00005401 arg=0x7e85f85c = 0x1efa000
IOC #59 fd=0 cmd=0x0000891c arg=0x7e85f970 = 0xc
IOC #60 fd=0 cmd=0x00008913 arg=0x7e85f970 = 0xc
IOC #61 fd=0 cmd=0x00008914 arg=0x7e85f970 = 0x0
[tracer] new child PID=618 (event=3)
IOC #62 fd=-25 cmd=0x00005401 arg=0x75569bdc = 0xd
IOC #63 fd=0 cmd=0x80204d01 arg=0x75569c48 = 0xd
IOC #64 fd=12 cmd=0x00005401 arg=0x7e85f85c = 0xffffffe7
IOC #65 fd=12 cmd=0x00005401 arg=0x7e85f55c = 0x0
IOC #66 fd=13 cmd=0x80204d01 arg=0x75569c48 = 0x0
IOC #67 fd=12 cmd=0x00008927 arg=0x7e85f990 = 0x0
IOC #68 fd=0 cmd=0x80204d01 arg=0x75569c48 = 0xd
IOC #69 fd=12 cmd=0x00005401 arg=0x7e85f48c = 0x0
IOC #70 fd=13 cmd=0x80204d01 arg=0x75569c48 = 0x0
