=== sofia_trace: ioctl + segv tracer ===
[tracer] child started, tracing syscalls...
[tracer] initial PC=0x76f58eac LR=0x00000000
IOC #1 fd=0 cmd=0x00005401 arg=0x7e8199bc = 0x0
IOC #2 fd=1 cmd=0x00005401 arg=0x7e8199bc = 0x0
IOC #3 fd=5 cmd=0x00005401 arg=0x7e818c2c = 0xffffffe7
IOC #4 fd=5 cmd=0x00005401 arg=0x7e8189d4 = 0xffffffe7
IOC #5 fd=5 cmd=0x00005401 arg=0x7e8199f4 = 0xffffffe7
IOC #6 fd=5 cmd=0x00005401 arg=0x7e8189e4 = 0xffffffe7
IOC #7 fd=5 cmd=0x00005401 arg=0x7e8187fc = 0xffffffe7
IOC #8 fd=5 cmd=0x00005401 arg=0x7e819744 = 0xffffffe7
IOC #9 fd=5 cmd=0x00005401 arg=0x7e818734 = 0xffffffe7
IOC #10 fd=5 cmd=0x00005401 arg=0x7e8189dc = 0xffffffe7
IOC #11 fd=5 cmd=0x00005401 arg=0x7e8189dc = 0xffffffe7
IOC #12 fd=5 cmd=0x00005401 arg=0x7e8189dc = 0xffffffe7
IOC #13 fd=5 cmd=0x00005401 arg=0x7e8189dc = 0xffffffe7
IOC #14 fd=5 cmd=0x00005401 arg=0x7e8187fc = 0xffffffe7
IOC #15 fd=5 cmd=0x00005401 arg=0x7e8199fc = 0xffffffe7
IOC #16 fd=7 cmd=0x00000703 arg=0x00000018 = 0x0
IOC #17 fd=7 cmd=0x00000707 arg=0x00b8ed60 = 0xffffff87
IOC #18 fd=7 cmd=0x00000707 arg=0x00b8ed60 = 0xffffff87
IOC #19 fd=9 cmd=0x80047652 arg=0x7e819c94 = 0x0
IOC #20 fd=9 cmd=0x40047654 arg=0x00000000 = 0x0
IOC #21 fd=8 cmd=0x80047600 arg=0x7e819be8 = 0x0
IOC #22 fd=9 cmd=0x80047670 arg=0x7e819c8c = 0x0
IOC #23 fd=10 cmd=0x00005401 arg=0x7e819a44 = 0xffffffe7
IOC #24 fd=8 cmd=0x40047602 arg=0x7e819be8 = 0x0
IOC #25 fd=9 cmd=0x80047652 arg=0x7e819c88 = 0x0
IOC #26 fd=10 cmd=0x00005401 arg=0x7e819b54 = 0xffffffe7
IOC #27 fd=9 cmd=0x40047316 arg=0x00bbf138 = 0x0
IOC #28 fd=9 cmd=0x80047301 arg=0x7e819bf0 = 0x0
IOC #29 fd=9 cmd=0x80047304 arg=0x7e819c84 = 0x0
IOC #30 fd=9 cmd=0x80047670 arg=0x7e819c8c = 0x0
IOC #31 fd=9 cmd=0x80046d05 arg=0x7e819c90 = 0x0
IOC #32 fd=9 cmd=0x80046d00 arg=0x7e819c78 = 0x0
IOC #33 fd=9 cmd=0x80046d04 arg=0x7e819c90 = 0x0
IOC #34 fd=9 cmd=0x80046d10 arg=0x7e819c78 = 0x0
IOC #35 fd=9 cmd=0x80046d20 arg=0x7e819c8c = 0x0
IOC #36 fd=9 cmd=0x80045002 arg=0x7e819c94 = 0x0
IOC #37 fd=10 cmd=0x00005401 arg=0x7e819b04 = 0xffffffe7
IOC #38 fd=10 cmd=0x00005401 arg=0x7e819b04 = 0xffffffe7
IOC #39 fd=10 cmd=0x00005401 arg=0x7e819b04 = 0xffffffe7
IOC #40 fd=10 cmd=0x00005401 arg=0x7e819b04 = 0xffffffe7
IOC #41 fd=10 cmd=0x00005401 arg=0x7e819ba4 = 0xffffffe7
IOC #42 fd=10 cmd=0x00005401 arg=0x7e8199b4 = 0xffffffe7
IOC #43 fd=11 cmd=0x00005401 arg=0x7e819994 = 0xffffffe7
IOC #44 fd=12 cmd=0x00005401 arg=0x7e818fcc = 0xffffffe7
IOC #45 fd=5 cmd=0x80045704 arg=0x7e819b34 = 0x0
IOC #46 fd=5 cmd=0xc0045706 arg=0x7e819b2c = 0x0
IOC #47 fd=12 cmd=0x00005401 arg=0x7e8195f4 = 0xffffffe7
IOC #48 fd=12 cmd=0x00005401 arg=0x7e8195f4 = 0xffffffe7
IOC #49 fd=12 cmd=0x00005401 arg=0x7e8195fc = 0xffffffe7
IOC #50 fd=12 cmd=0x00008916 arg=0x7e8199c0 = 0x0
IOC #51 fd=12 cmd=0x00008913 arg=0x7e8199c0 = 0x0
IOC #52 fd=12 cmd=0x00008914 arg=0x7e8199c0 = 0x0
IOC #53 fd=12 cmd=0x00005401 arg=0x7e8198ac = 0xffffffe7
IOC #54 fd=12 cmd=0x0000891c arg=0x7e8199c0 = 0x0
IOC #55 fd=12 cmd=0x00008913 arg=0x7e8199c0 = 0x0
IOC #56 fd=12 cmd=0x00008914 arg=0x7e8199c0 = 0x0
IOC #57 fd=12 cmd=0x00005401 arg=0x7e8198ac = 0xffffffe7
IOC #58 fd=12 cmd=0x00005401 arg=0x7e8195ac = 0xffffffe7
IOC #59 fd=12 cmd=0x00008927 arg=0x7e8199e0 = 0x0
IOC #60 fd=12 cmd=0x00005401 arg=0x7e8194dc = 0xffffffe7
IOC #61 fd=12 cmd=0x0000890c arg=0x7e81996c = 0xfffffffd
IOC #62 fd=13 cmd=0x00005401 arg=0x7e81935c = 0xffffffe7
IOC #63 fd=13 cmd=0x00005401 arg=0x7e81935c = 0xffffffe7
IOC #64 fd=13 cmd=0x00005401 arg=0x7e81935c = 0xffffffe7
IOC #65 fd=12 cmd=0x0000890c arg=0x7e81996c = 0x0
IOC #66 fd=12 cmd=0x0000890b arg=0x7e81996c = 0x0
IOC #67 fd=12 cmd=0x0000890b arg=0x7e81996c = 0x0
IOC #68 fd=12 cmd=0x00005401 arg=0x7e8198ac = 0xffffffe7
IOC #69 fd=12 cmd=0x00005401 arg=0x7e8195ac = 0xffffffe7
